"","WLoc","WTeam","LTeam"
"533","V","Los Angeles Clippers","Orlando Magic"
"534","V","Toronto Raptors","Phoenix Suns"
"535","H","Washington Wizards","Memphis Grizzlies"
"536","V","Detroit Pistons","Atlanta Hawks"
"537","V","New York Knicks","Brooklyn Nets"
"538","H","Cleveland Cavaliers","Los Angeles Lakers"
"539","H","Golden State Warriors","Dallas Mavericks"
"540","H","Minnesota Timberwolves","Sacramento Kings"
"541","V","Utah Jazz","Boston Celtics"
"542","V","Miami Heat","Charlotte Hornets"
"543","H","Denver Nuggets","New Orleans Pelicans"
"544","H","Houston Rockets","San Antonio Spurs"
"545","V","Detroit Pistons","Indiana Pacers"
"546","H","Memphis Grizzlies","Atlanta Hawks"
"547","V","Chicago Bulls","Milwaukee Bucks"
"548","V","Portland Trail Blazers","Orlando Magic"
"549","V","Oklahoma City Thunder","Philadelphia 76ers"
"550","H","Toronto Raptors","Brooklyn Nets"
